year,doy,plot_id,organ,mass_gpl
2018,152,2018_13,grain,0
2018,152,2018_13,grain500,NA
2018,152,2018_13,leaf,1.2425
2018,152,2018_13,plant,1.9874999999999998
2018,152,2018_13,stalkcobtass,0.745
2018,152,2018_18,grain,0
2018,152,2018_18,grain500,NA
2018,152,2018_18,leaf,1.8099999999999998
2018,152,2018_18,plant,2.9266666666666663
2018,152,2018_18,stalkcobtass,1.1166666666666667
2018,152,2018_24,grain,0
2018,152,2018_24,grain500,NA
2018,152,2018_24,leaf,2.0214285714285714
2018,152,2018_24,plant,3.6014285714285714
2018,152,2018_24,stalkcobtass,1.58
2018,152,2018_28,grain,0
2018,152,2018_28,grain500,NA
2018,152,2018_28,leaf,1.62375
2018,152,2018_28,plant,2.835
2018,152,2018_28,stalkcobtass,1.21125
2018,152,2018_34,grain,0
2018,152,2018_34,grain500,NA
2018,152,2018_34,leaf,0.98375
2018,152,2018_34,plant,1.62625
2018,152,2018_34,stalkcobtass,0.6425
2018,152,2018_37,grain,0
2018,152,2018_37,grain500,NA
2018,152,2018_37,leaf,1.9000000000000001
2018,152,2018_37,plant,3.2157142857142857
2018,152,2018_37,stalkcobtass,1.3157142857142858
2018,152,2018_44,grain,0
2018,152,2018_44,grain500,NA
2018,152,2018_44,leaf,1.79375
2018,152,2018_44,plant,2.855
2018,152,2018_44,stalkcobtass,1.06125
2018,152,2018_46,grain,0
2018,152,2018_46,grain500,NA
2018,152,2018_46,leaf,1.80625
2018,152,2018_46,plant,2.87125
2018,152,2018_46,stalkcobtass,1.065
2018,169,2018_13,grain,0
2018,169,2018_13,grain500,NA
2018,169,2018_13,leaf,23.7375
2018,169,2018_13,plant,37.25
2018,169,2018_13,stalkcobtass,13.5125
2018,169,2018_18,grain,0
2018,169,2018_18,grain500,NA
2018,169,2018_18,leaf,20.8625
2018,169,2018_18,plant,34.0875
2018,169,2018_18,stalkcobtass,13.225
2018,169,2018_24,grain,0
2018,169,2018_24,grain500,NA
2018,169,2018_24,leaf,19.95
2018,169,2018_24,plant,34.2375
2018,169,2018_24,stalkcobtass,14.2875
2018,169,2018_28,grain,0
2018,169,2018_28,grain500,NA
2018,169,2018_28,leaf,21.1125
2018,169,2018_28,plant,34.475
2018,169,2018_28,stalkcobtass,13.3625
2018,169,2018_34,grain,0
2018,169,2018_34,grain500,NA
2018,169,2018_34,leaf,17.05
2018,169,2018_34,plant,28.7875
2018,169,2018_34,stalkcobtass,11.7375
2018,169,2018_37,grain,0
2018,169,2018_37,grain500,NA
2018,169,2018_37,leaf,21
2018,169,2018_37,plant,35.4375
2018,169,2018_37,stalkcobtass,14.4375
2018,169,2018_44,grain,0
2018,169,2018_44,grain500,NA
2018,169,2018_44,leaf,15.6875
2018,169,2018_44,plant,25.3
2018,169,2018_44,stalkcobtass,9.6125
2018,169,2018_46,grain,0
2018,169,2018_46,grain500,NA
2018,169,2018_46,leaf,21.025
2018,169,2018_46,plant,34.7625
2018,169,2018_46,stalkcobtass,13.7375
2018,184,2018_13,grain,0
2018,184,2018_13,grain500,NA
2018,184,2018_13,leaf,38.4925
2018,184,2018_13,plant,85.10749999999999
2018,184,2018_13,stalkcobtass,46.614999999999995
2018,184,2018_18,grain,0
2018,184,2018_18,grain500,NA
2018,184,2018_18,leaf,43.552499999999995
2018,184,2018_18,plant,96.48249999999999
2018,184,2018_18,stalkcobtass,52.93
2018,184,2018_24,grain,0
2018,184,2018_24,grain500,NA
2018,184,2018_24,leaf,43.7975
2018,184,2018_24,plant,96.87125
2018,184,2018_24,stalkcobtass,53.073750000000004
2018,184,2018_28,grain,0
2018,184,2018_28,grain500,NA
2018,184,2018_28,leaf,42.075
2018,184,2018_28,plant,91.9
2018,184,2018_28,stalkcobtass,49.825
2018,184,2018_34,grain,0
2018,184,2018_34,grain500,NA
2018,184,2018_34,leaf,42.43125
2018,184,2018_34,plant,93.1825
2018,184,2018_34,stalkcobtass,50.751250000000006
2018,184,2018_37,grain,0
2018,184,2018_37,grain500,NA
2018,184,2018_37,leaf,42.712500000000006
2018,184,2018_37,plant,95.215
2018,184,2018_37,stalkcobtass,52.502500000000005
2018,184,2018_44,grain,0
2018,184,2018_44,grain500,NA
2018,184,2018_44,leaf,42.74875
2018,184,2018_44,plant,98.64875
2018,184,2018_44,stalkcobtass,55.9
2018,184,2018_46,grain,0
2018,184,2018_46,grain500,NA
2018,184,2018_46,leaf,38.99125
2018,184,2018_46,plant,83.28125
2018,184,2018_46,stalkcobtass,44.29
2018,198,2018_13,grain,0
2018,198,2018_13,grain500,NA
2018,198,2018_13,leaf,34.03333333333333
2018,198,2018_13,plant,140.57777777777778
2018,198,2018_13,stalkcobtass,106.54444444444444
2018,198,2018_18,grain,0
2018,198,2018_18,grain500,NA
2018,198,2018_18,leaf,35.64444444444444
2018,198,2018_18,plant,140.37777777777777
2018,198,2018_18,stalkcobtass,104.73333333333332
2018,198,2018_24,grain,0
2018,198,2018_24,grain500,NA
2018,198,2018_24,leaf,39.8111111111111
2018,198,2018_24,plant,150.65555555555557
2018,198,2018_24,stalkcobtass,110.84444444444445
2018,198,2018_28,grain,0
2018,198,2018_28,grain500,NA
2018,198,2018_28,leaf,38.788888888888884
2018,198,2018_28,plant,166.19999999999996
2018,198,2018_28,stalkcobtass,127.4111111111111
2018,198,2018_34,grain,0
2018,198,2018_34,grain500,NA
2018,198,2018_34,leaf,37.02222222222222
2018,198,2018_34,plant,145.45555555555555
2018,198,2018_34,stalkcobtass,108.43333333333334
2018,198,2018_37,grain,0
2018,198,2018_37,grain500,NA
2018,198,2018_37,leaf,36.9
2018,198,2018_37,plant,141.47142857142856
2018,198,2018_37,stalkcobtass,104.57142857142857
2018,198,2018_44,grain,0
2018,198,2018_44,grain500,NA
2018,198,2018_44,leaf,35.6
2018,198,2018_44,plant,141.3625
2018,198,2018_44,stalkcobtass,105.7625
2018,198,2018_46,grain,0
2018,198,2018_46,grain500,NA
2018,198,2018_46,leaf,41.025000000000006
2018,198,2018_46,plant,157.25
2018,198,2018_46,stalkcobtass,116.225
2018,270,2018_13,grain,106.2875
2018,270,2018_13,grain500,18.4
2018,270,2018_13,leaf,24.725
2018,270,2018_13,plant,203.925
2018,270,2018_13,stalkcobtass,72.91250000000001
2018,270,2018_18,grain,151.15
2018,270,2018_18,grain500,21.3625
2018,270,2018_18,leaf,29.1375
2018,270,2018_18,plant,260.05
2018,270,2018_18,stalkcobtass,79.7625
2018,270,2018_24,grain,132.7625
2018,270,2018_24,grain500,20.3375
2018,270,2018_24,leaf,27.625
2018,270,2018_24,plant,246.96249999999998
2018,270,2018_24,stalkcobtass,86.57499999999999
2018,270,2018_28,grain,186.225
2018,270,2018_28,grain500,22.8625
2018,270,2018_28,leaf,27.1875
2018,270,2018_28,plant,305.775
2018,270,2018_28,stalkcobtass,92.3625
2018,270,2018_34,grain,134.5625
2018,270,2018_34,grain500,19.525
2018,270,2018_34,leaf,28.875
2018,270,2018_34,plant,245.8875
2018,270,2018_34,stalkcobtass,82.45
2018,270,2018_37,grain,171.9375
2018,270,2018_37,grain500,22.0125
2018,270,2018_37,leaf,29.0625
2018,270,2018_37,plant,288.525
2018,270,2018_37,stalkcobtass,87.525
2018,270,2018_44,grain,141.25
2018,270,2018_44,grain500,23.2875
2018,270,2018_44,leaf,30.4375
2018,270,2018_44,plant,254.925
2018,270,2018_44,stalkcobtass,83.2375
2018,270,2018_46,grain,164.675
2018,270,2018_46,grain500,25.525
2018,270,2018_46,leaf,31.4125
2018,270,2018_46,plant,286.025
2018,270,2018_46,stalkcobtass,89.9375
2019,176,2019_12,grain,0
2019,176,2019_12,grain500,0
2019,176,2019_12,leaf,1.2874999999999996
2019,176,2019_12,plant,2.2874999999999996
2019,176,2019_12,stalkcobtass,1
2019,176,2019_19,grain,0
2019,176,2019_19,grain500,0
2019,176,2019_19,leaf,0.7750000000000004
2019,176,2019_19,plant,1.3750000000000002
2019,176,2019_19,stalkcobtass,0.5999999999999999
2019,176,2019_21,grain,0
2019,176,2019_21,grain500,0
2019,176,2019_21,leaf,1.2874999999999996
2019,176,2019_21,plant,2.7499999999999996
2019,176,2019_21,stalkcobtass,1.4625
2019,176,2019_27,grain,0
2019,176,2019_27,grain500,0
2019,176,2019_27,leaf,1.0125000000000002
2019,176,2019_27,plant,1.9000000000000001
2019,176,2019_27,stalkcobtass,0.8875
2019,176,2019_31,grain,0
2019,176,2019_31,grain500,0
2019,176,2019_31,leaf,0.9749999999999996
2019,176,2019_31,plant,1.8749999999999996
2019,176,2019_31,stalkcobtass,0.8999999999999999
2019,176,2019_35,grain,0
2019,176,2019_35,grain500,0
2019,176,2019_35,leaf,0.9124999999999996
2019,176,2019_35,plant,1.8249999999999995
2019,176,2019_35,stalkcobtass,0.9124999999999999
2019,176,2019_43,grain,0
2019,176,2019_43,grain500,0
2019,176,2019_43,leaf,1.375
2019,176,2019_43,plant,2.525
2019,176,2019_43,stalkcobtass,1.15
2019,176,2019_45,grain,0
2019,176,2019_45,grain500,0
2019,176,2019_45,leaf,0.8374999999999995
2019,176,2019_45,plant,1.4124999999999996
2019,176,2019_45,stalkcobtass,0.5750000000000001
2019,183,2019_12,grain,0
2019,183,2019_12,grain500,0
2019,183,2019_12,leaf,5.375
2019,183,2019_12,plant,8.075
2019,183,2019_12,stalkcobtass,2.7
2019,183,2019_19,grain,0
2019,183,2019_19,grain500,0
2019,183,2019_19,leaf,7.075
2019,183,2019_19,plant,10.925
2019,183,2019_19,stalkcobtass,3.85
2019,183,2019_21,grain,0
2019,183,2019_21,grain500,0
2019,183,2019_21,leaf,8.0875
2019,183,2019_21,plant,13.625
2019,183,2019_21,stalkcobtass,5.5375
2019,183,2019_27,grain,0
2019,183,2019_27,grain500,0
2019,183,2019_27,leaf,5.5625
2019,183,2019_27,plant,8.2625
2019,183,2019_27,stalkcobtass,2.7
2019,183,2019_31,grain,0
2019,183,2019_31,grain500,0
2019,183,2019_31,leaf,7.025
2019,183,2019_31,plant,9.6125
2019,183,2019_31,stalkcobtass,2.5875
2019,183,2019_35,grain,0
2019,183,2019_35,grain500,0
2019,183,2019_35,leaf,5.775
2019,183,2019_35,plant,8.5875
2019,183,2019_35,stalkcobtass,2.8125
2019,183,2019_43,grain,0
2019,183,2019_43,grain500,0
2019,183,2019_43,leaf,7.2375
2019,183,2019_43,plant,10.7
2019,183,2019_43,stalkcobtass,3.4625
2019,183,2019_45,grain,0
2019,183,2019_45,grain500,0
2019,183,2019_45,leaf,5.1125
2019,183,2019_45,plant,7.699999999999999
2019,183,2019_45,stalkcobtass,2.5875
2019,196,2019_12,grain,0
2019,196,2019_12,grain500,0
2019,196,2019_12,leaf,21.58375
2019,196,2019_12,plant,48.33875
2019,196,2019_12,stalkcobtass,26.755
2019,196,2019_19,grain,0
2019,196,2019_19,grain500,0
2019,196,2019_19,leaf,19.09
2019,196,2019_19,plant,46.76625
2019,196,2019_19,stalkcobtass,27.67625
2019,196,2019_21,grain,0
2019,196,2019_21,grain500,0
2019,196,2019_21,leaf,18.62125
2019,196,2019_21,plant,48.485
2019,196,2019_21,stalkcobtass,29.86375
2019,196,2019_27,grain,0
2019,196,2019_27,grain500,0
2019,196,2019_27,leaf,22.665
2019,196,2019_27,plant,62.777499999999996
2019,196,2019_27,stalkcobtass,40.1125
2019,196,2019_31,grain,0
2019,196,2019_31,grain500,0
2019,196,2019_31,leaf,16.62
2019,196,2019_31,plant,32.24125
2019,196,2019_31,stalkcobtass,15.62125
2019,196,2019_35,grain,0
2019,196,2019_35,grain500,0
2019,196,2019_35,leaf,22.4275
2019,196,2019_35,plant,44.65875
2019,196,2019_35,stalkcobtass,22.23125
2019,196,2019_43,grain,0
2019,196,2019_43,grain500,0
2019,196,2019_43,leaf,18.7
2019,196,2019_43,plant,40.1875
2019,196,2019_43,stalkcobtass,21.4875
2019,196,2019_45,grain,0
2019,196,2019_45,grain500,0
2019,196,2019_45,leaf,22.49
2019,196,2019_45,plant,60.91875
2019,196,2019_45,stalkcobtass,38.42875
2019,205,2019_12,grain,0
2019,205,2019_12,grain500,0
2019,205,2019_12,leaf,41.875
2019,205,2019_12,plant,138
2019,205,2019_12,stalkcobtass,96.125
2019,205,2019_19,grain,0
2019,205,2019_19,grain500,0
2019,205,2019_19,leaf,37.375
2019,205,2019_19,plant,113.875
2019,205,2019_19,stalkcobtass,76.5
2019,205,2019_21,grain,0
2019,205,2019_21,grain500,0
2019,205,2019_21,leaf,36.75
2019,205,2019_21,plant,104.625
2019,205,2019_21,stalkcobtass,67.875
2019,205,2019_27,grain,0
2019,205,2019_27,grain500,0
2019,205,2019_27,leaf,38.875
2019,205,2019_27,plant,142.875
2019,205,2019_27,stalkcobtass,104
2019,205,2019_31,grain,0
2019,205,2019_31,grain500,0
2019,205,2019_31,leaf,36.75
2019,205,2019_31,plant,145.5
2019,205,2019_31,stalkcobtass,108.75
2019,205,2019_35,grain,0
2019,205,2019_35,grain500,0
2019,205,2019_35,leaf,33.25
2019,205,2019_35,plant,106
2019,205,2019_35,stalkcobtass,72.75
2019,205,2019_43,grain,0
2019,205,2019_43,grain500,0
2019,205,2019_43,leaf,40.625
2019,205,2019_43,plant,131.5
2019,205,2019_43,stalkcobtass,90.875
2019,205,2019_45,grain,0
2019,205,2019_45,grain500,0
2019,205,2019_45,leaf,34.875
2019,205,2019_45,plant,127.875
2019,205,2019_45,stalkcobtass,93
2019,213,2019_12,grain,0
2019,213,2019_12,grain500,0
2019,213,2019_12,leaf,32.875
2019,213,2019_12,plant,100.625
2019,213,2019_12,stalkcobtass,67.75
2019,213,2019_19,grain,0
2019,213,2019_19,grain500,0
2019,213,2019_19,leaf,39.125
2019,213,2019_19,plant,119.9375
2019,213,2019_19,stalkcobtass,80.8125
2019,213,2019_21,grain,0
2019,213,2019_21,grain500,0
2019,213,2019_21,leaf,34.125
2019,213,2019_21,plant,132.1875
2019,213,2019_21,stalkcobtass,98.0625
2019,213,2019_27,grain,0
2019,213,2019_27,grain500,0
2019,213,2019_27,leaf,38.3125
2019,213,2019_27,plant,111.1875
2019,213,2019_27,stalkcobtass,72.875
2019,213,2019_31,grain,0
2019,213,2019_31,grain500,0
2019,213,2019_31,leaf,42.75
2019,213,2019_31,plant,124.5625
2019,213,2019_31,stalkcobtass,81.8125
2019,213,2019_35,grain,0
2019,213,2019_35,grain500,0
2019,213,2019_35,leaf,40
2019,213,2019_35,plant,129.875
2019,213,2019_35,stalkcobtass,89.875
2019,213,2019_43,grain,0
2019,213,2019_43,grain500,0
2019,213,2019_43,leaf,40.125
2019,213,2019_43,plant,118.375
2019,213,2019_43,stalkcobtass,78.25
2019,213,2019_45,grain,0
2019,213,2019_45,grain500,0
2019,213,2019_45,leaf,44.3125
2019,213,2019_45,plant,133.125
2019,213,2019_45,stalkcobtass,88.8125
2019,231,2019_12,grain,0
2019,231,2019_12,grain500,0
2019,231,2019_12,leaf,46.375
2019,231,2019_12,plant,152.375
2019,231,2019_12,stalkcobtass,106
2019,231,2019_19,grain,0
2019,231,2019_19,grain500,0
2019,231,2019_19,leaf,42
2019,231,2019_19,plant,147.5
2019,231,2019_19,stalkcobtass,105.5
2019,231,2019_21,grain,0
2019,231,2019_21,grain500,0
2019,231,2019_21,leaf,30.75
2019,231,2019_21,plant,108
2019,231,2019_21,stalkcobtass,77.25
2019,231,2019_27,grain,0
2019,231,2019_27,grain500,0
2019,231,2019_27,leaf,40.375
2019,231,2019_27,plant,133.625
2019,231,2019_27,stalkcobtass,93.25
2019,231,2019_31,grain,0
2019,231,2019_31,grain500,0
2019,231,2019_31,leaf,39.25
2019,231,2019_31,plant,137.5
2019,231,2019_31,stalkcobtass,98.25
2019,231,2019_35,grain,0
2019,231,2019_35,grain500,0
2019,231,2019_35,leaf,45.25
2019,231,2019_35,plant,156
2019,231,2019_35,stalkcobtass,110.75
2019,231,2019_43,grain,0
2019,231,2019_43,grain500,0
2019,231,2019_43,leaf,45.375
2019,231,2019_43,plant,163.625
2019,231,2019_43,stalkcobtass,118.25
2019,231,2019_45,grain,0
2019,231,2019_45,grain500,0
2019,231,2019_45,leaf,42.375
2019,231,2019_45,plant,144.125
2019,231,2019_45,stalkcobtass,101.75
2019,263,2019_12,grain,136.0125
2019,263,2019_12,grain500,16.485
2019,263,2019_12,leaf,43.75
2019,263,2019_12,plant,281.84
2019,263,2019_12,stalkcobtass,102.0775
2019,263,2019_19,grain,151.39375
2019,263,2019_19,grain500,17.1175
2019,263,2019_19,leaf,34.125
2019,263,2019_19,plant,293.86375
2019,263,2019_19,stalkcobtass,108.345
2019,263,2019_21,grain,134.9675
2019,263,2019_21,grain500,17.10625
2019,263,2019_21,leaf,36.625
2019,263,2019_21,plant,274.205
2019,263,2019_21,stalkcobtass,102.6125
2019,263,2019_27,grain,160.72875
2019,263,2019_27,grain500,17.17375
2019,263,2019_27,leaf,42.625
2019,263,2019_27,plant,314.0475
2019,263,2019_27,stalkcobtass,110.69375
2019,263,2019_31,grain,147.905
2019,263,2019_31,grain500,17.57625
2019,263,2019_31,leaf,41.75
2019,263,2019_31,plant,291.875
2019,263,2019_31,stalkcobtass,102.22
2019,263,2019_35,grain,152.965
2019,263,2019_35,grain500,17.11875
2019,263,2019_35,leaf,38.25
2019,263,2019_35,plant,297.55
2019,263,2019_35,stalkcobtass,106.33500000000001
2019,263,2019_43,grain,168.6975
2019,263,2019_43,grain500,17.75875
2019,263,2019_43,leaf,41.25
2019,263,2019_43,plant,314.93375
2019,263,2019_43,stalkcobtass,104.98625
2019,263,2019_45,grain,149.7875
2019,263,2019_45,grain500,18.37125
2019,263,2019_45,leaf,44.875
2019,263,2019_45,plant,310.15375
2019,263,2019_45,stalkcobtass,115.49125000000001
2019,292,2019_12,grain,197.65
2019,292,2019_12,grain500,18.4875
2019,292,2019_12,leaf,39.125
2019,292,2019_12,plant,321.15
2019,292,2019_12,stalkcobtass,84.375
2019,292,2019_19,grain,184.4375
2019,292,2019_19,grain500,20.3875
2019,292,2019_19,leaf,34.75
2019,292,2019_19,plant,301.825
2019,292,2019_19,stalkcobtass,82.6375
2019,292,2019_21,grain,173.4625
2019,292,2019_21,grain500,19.7875
2019,292,2019_21,leaf,41.625
2019,292,2019_21,plant,302.0875
2019,292,2019_21,stalkcobtass,87
2019,292,2019_27,grain,171.375
2019,292,2019_27,grain500,18.05
2019,292,2019_27,leaf,37.625
2019,292,2019_27,plant,289.5
2019,292,2019_27,stalkcobtass,80.5
2019,292,2019_31,grain,193.25
2019,292,2019_31,grain500,22.3375
2019,292,2019_31,leaf,49.125
2019,292,2019_31,plant,325.85
2019,292,2019_31,stalkcobtass,83.475
2019,292,2019_35,grain,171.05
2019,292,2019_35,grain500,19.0875
2019,292,2019_35,leaf,37
2019,292,2019_35,plant,288.875
2019,292,2019_35,stalkcobtass,80.825
2019,292,2019_43,grain,179.15
2019,292,2019_43,grain500,18.5375
2019,292,2019_43,leaf,39.25
2019,292,2019_43,plant,298.525
2019,292,2019_43,stalkcobtass,80.125
2019,292,2019_45,grain,206.5375
2019,292,2019_45,grain500,19.65
2019,292,2019_45,leaf,45.375
2019,292,2019_45,plant,343.55
2019,292,2019_45,stalkcobtass,91.6375
