year,date,doy,plot_id,pls_nu,pl_id,plht_cm,pl_stage,devleaves_nu,grleaves_nu,funleaves_nu
2018,2018-06-01,152,2018_13,18,p13-1,12,V5,5,5,5
2018,2018-06-01,152,2018_13,18,p13-2,13,V5,5,5,5
2018,2018-06-01,152,2018_13,18,p13-3,11,V5,5,5,5
2018,2018-06-01,152,2018_18,18,p18-1,12,V5,5,5,5
2018,2018-06-01,152,2018_18,18,p18-2,11,V5,5,5,5
2018,2018-06-01,152,2018_18,18,p18-3,9.5,V5,5,5,5
2018,2018-06-01,152,2018_24,17,p24-1,12,V5,5,5,5
2018,2018-06-01,152,2018_24,17,p24-2,11.5,V5,5,5,5
2018,2018-06-01,152,2018_24,17,p24-3,11,V5,5,5,5
2018,2018-06-01,152,2018_28,18,p28-1,10.5,V5,5,5,5
2018,2018-06-01,152,2018_28,18,p28-2,9.5,V5,5,5,5
2018,2018-06-01,152,2018_28,18,p28-3,11.5,V5,5,5,5
2018,2018-06-01,152,2018_34,18,p34-1,10,V5,5,5,5
2018,2018-06-01,152,2018_34,18,p34-2,11,V5,5,5,5
2018,2018-06-01,152,2018_34,18,p34-3,10,V5,5,5,5
2018,2018-06-01,152,2018_37,19,p37-1,10.5,V5,5,5,5
2018,2018-06-01,152,2018_37,19,p37-2,9,V5,5,5,5
2018,2018-06-01,152,2018_37,19,p37-3,11,V5,5,5,5
2018,2018-06-01,152,2018_44,18,p44-1,10,V5,5,5,5
2018,2018-06-01,152,2018_44,18,p44-2,10,V5,5,5,5
2018,2018-06-01,152,2018_44,18,p44-3,9,V5,5,5,5
2018,2018-06-01,152,2018_46,18,p46-1,10.5,V5,5,5,5
2018,2018-06-01,152,2018_46,18,p46-2,9,V5,5,5,5
2018,2018-06-01,152,2018_46,18,p46-3,12,V5,5,5,5
2018,2018-06-18,169,2018_13,18,p13-1,60,V10,10,6,6
2018,2018-06-18,169,2018_13,18,p13-2,54,V10,10,6,6
2018,2018-06-18,169,2018_13,18,p13-3,58,V10,10,7,7
2018,2018-06-18,169,2018_18,18,p18-1,53,V10,10,7,7
2018,2018-06-18,169,2018_18,18,p18-2,60,V11,11,7,7
2018,2018-06-18,169,2018_18,18,p18-3,65,V11,11,8,8
2018,2018-06-18,169,2018_24,17,p24-1,55,V10,10,6,6
2018,2018-06-18,169,2018_24,17,p24-2,54,V10,10,6,6
2018,2018-06-18,169,2018_24,17,p24-3,56,V10,10,6,6
2018,2018-06-18,169,2018_28,18,p28-1,54,V10,10,6,6
2018,2018-06-18,169,2018_28,18,p28-2,48,V9,9,5,5
2018,2018-06-18,169,2018_28,18,p28-3,59,V10,10,6,6
2018,2018-06-18,169,2018_34,18,p34-1,44,V10,10,5,5
2018,2018-06-18,169,2018_34,18,p34-2,47,V10,10,6,6
2018,2018-06-18,169,2018_34,18,p34-3,45,V10,9,5,5
2018,2018-06-18,169,2018_37,19,p37-1,59,V11,11,7,7
2018,2018-06-18,169,2018_37,19,p37-2,50,V10,10,7,7
2018,2018-06-18,169,2018_37,19,p37-3,60,V11,11,8,8
2018,2018-06-18,169,2018_44,18,p44-1,47,V10,10,6,6
2018,2018-06-18,169,2018_44,18,p44-2,42,V9,9,6,6
2018,2018-06-18,169,2018_44,18,p44-3,42,V9,9,6,6
2018,2018-06-18,169,2018_46,17,p46-1,56,V10,10,6,6
2018,2018-06-18,169,2018_46,17,p46-2,50,V11,11,6,6
2018,2018-06-18,169,2018_46,17,p46-3,58,V10,10,6,6
2018,2018-06-25,176,2018_13,NA,p13-1,101.6,V14,14,NA,3
2018,2018-06-25,176,2018_13,NA,p13-2,99.06,V14,14,NA,3
2018,2018-06-25,176,2018_13,NA,p13-3,92.71000000000001,V13,13,NA,3
2018,2018-06-25,176,2018_18,NA,p18-1,93.98,V13,13,NA,3
2018,2018-06-25,176,2018_18,NA,p18-2,105,V14,14,NA,3
2018,2018-06-25,176,2018_18,NA,p18-3,106.68,V14,14,NA,3
2018,2018-06-25,176,2018_24,NA,p24-1,96.52,V13,13,NA,3
2018,2018-06-25,176,2018_24,NA,p24-2,100.33,V13,13,NA,3
2018,2018-06-25,176,2018_24,NA,p24-3,101.6,V13,13,NA,3
2018,2018-06-25,176,2018_28,NA,p28-1,92.71000000000001,V13,13,NA,3
2018,2018-06-25,176,2018_28,NA,p28-2,77.47,V12,12,NA,3
2018,2018-06-25,176,2018_28,NA,p28-3,96.52,V13,13,NA,3
2018,2018-06-25,176,2018_34,NA,p34-1,82.55,V14,14,NA,3
2018,2018-06-25,176,2018_34,NA,p34-2,77.47,V13,13,NA,3
2018,2018-06-25,176,2018_34,NA,p34-3,80.01,V13,13,NA,3
2018,2018-06-25,176,2018_37,NA,p37-1,101.6,V14,14,NA,3
2018,2018-06-25,176,2018_37,NA,p37-2,87.63,V13,13,NA,3
2018,2018-06-25,176,2018_37,NA,p37-3,104.14,V14,14,NA,3
2018,2018-06-25,176,2018_44,NA,p44-1,83.82000000000001,V13,13,NA,3
2018,2018-06-25,176,2018_44,NA,p44-2,77.47,V12,12,NA,3
2018,2018-06-25,176,2018_44,NA,p44-3,80.01,V12,12,NA,3
2018,2018-06-25,176,2018_46,NA,p46-1,93.98,V13,13,NA,3
2018,2018-06-25,176,2018_46,NA,p46-2,87.63,V13,13,NA,3
2018,2018-06-25,176,2018_46,NA,p46-3,100.33,V14,14,NA,3
2018,2018-07-02,183,2018_13,NA,p13-1,151.13,V17,17,NA,6
2018,2018-07-02,183,2018_13,NA,p13-2,151.13,V17,17,NA,6
2018,2018-07-02,183,2018_13,NA,p13-3,147.32,V17,17,NA,6
2018,2018-07-02,183,2018_18,NA,p18-1,148.59,V16,16,NA,6
2018,2018-07-02,183,2018_18,NA,p18-2,160.02,V17,17,NA,6
2018,2018-07-02,183,2018_18,NA,p18-3,157.48,V17,17,NA,6
2018,2018-07-02,183,2018_24,NA,p24-1,154.94,V17,17,NA,6
2018,2018-07-02,183,2018_24,NA,p24-2,149.86,V17,17,NA,6
2018,2018-07-02,183,2018_24,NA,p24-3,153.67000000000002,V17,17,NA,6
2018,2018-07-02,183,2018_28,NA,p28-1,149.86,V17,17,NA,6
2018,2018-07-02,183,2018_28,NA,p28-2,133.35,V16,16,NA,6
2018,2018-07-02,183,2018_28,NA,p28-3,149.86,V17,17,NA,6
2018,2018-07-02,183,2018_34,NA,p34-1,NA,NA,NA,NA,NA
2018,2018-07-02,183,2018_34,NA,p34-2,NA,NA,NA,NA,NA
2018,2018-07-02,183,2018_34,NA,p34-3,NA,NA,NA,NA,NA
2018,2018-07-02,183,2018_37,NA,p37-1,157.48,V18,18,NA,7
2018,2018-07-02,183,2018_37,NA,p37-2,138.43,V17,17,NA,6
2018,2018-07-02,183,2018_37,NA,p37-3,154.94,V17,17,NA,6
2018,2018-07-02,183,2018_44,NA,p44-1,139.7,V15,15,NA,5
2018,2018-07-02,183,2018_44,NA,p44-2,128.27,V16,16,NA,5
2018,2018-07-02,183,2018_44,NA,p44-3,134.62,V15,15,NA,5
2018,2018-07-02,183,2018_46,NA,p46-1,143.51,V17,17,NA,6
2018,2018-07-02,183,2018_46,NA,p46-2,144.78,V17,17,NA,6
2018,2018-07-02,183,2018_46,NA,p46-3,154.94,V18,18,NA,7
2018,2018-07-13,194,2018_13,NA,p13-1,223.52,R2,20,NA,12
2018,2018-07-13,194,2018_13,NA,p13-2,223.52,R2,20,NA,12
2018,2018-07-13,194,2018_13,NA,p13-3,218.44,R2,20,NA,12
2018,2018-07-13,194,2018_18,NA,p18-1,231.14000000000001,R2,20,NA,12
2018,2018-07-13,194,2018_18,NA,p18-2,222.25,R2,20,NA,12
2018,2018-07-13,194,2018_18,NA,p18-3,236.22,R2,20,NA,12
2018,2018-07-13,194,2018_24,NA,p24-1,231.14000000000001,R2,20,NA,13
2018,2018-07-13,194,2018_24,NA,p24-2,226.06,R2,20,NA,12
2018,2018-07-13,194,2018_24,NA,p24-3,228.6,R2,20,NA,12
2018,2018-07-13,194,2018_28,NA,p28-1,223.52,R2,20,NA,12
2018,2018-07-13,194,2018_28,NA,p28-2,224.79,R2,20,NA,12
2018,2018-07-13,194,2018_28,NA,p28-3,236.22,R2,21,NA,13
2018,2018-07-13,194,2018_34,NA,p34-1,212.09,R2,20,NA,11
2018,2018-07-13,194,2018_34,NA,p34-2,199.39000000000001,R2,20,NA,11
2018,2018-07-13,194,2018_34,NA,p34-3,0,NA,NA,NA,NA
2018,2018-07-13,194,2018_37,NA,p37-1,215.9,R2,20,NA,12
2018,2018-07-13,194,2018_37,NA,p37-2,217.17000000000002,R2,20,NA,12
2018,2018-07-13,194,2018_37,NA,p37-3,218.44,R2,20,NA,12
2018,2018-07-13,194,2018_44,NA,p44-1,213.36,R2,19,NA,11
2018,2018-07-13,194,2018_44,NA,p44-2,218.44,R2,20,NA,11
2018,2018-07-13,194,2018_44,NA,p44-3,226.06,R2,19,NA,11
2018,2018-07-13,194,2018_46,NA,p46-1,218.44,R2,20,NA,12
2018,2018-07-13,194,2018_46,NA,p46-2,215.9,R2,20,NA,11
2018,2018-07-13,194,2018_46,NA,p46-3,207.01,R2,20,NA,11
2018,2018-07-26,207,2018_13,18,p13-1,219,R3,20,11,8
2018,2018-07-26,207,2018_13,18,p13-2,222,R3,20,11,8
2018,2018-07-26,207,2018_13,18,p13-3,217,R3,20,11,8
2018,2018-07-26,207,2018_18,18,p18-1,232,R3,20,11,8
2018,2018-07-26,207,2018_18,18,p18-2,221,R3,20,12,7
2018,2018-07-26,207,2018_18,18,p18-3,242,R3,20,12,9
2018,2018-07-26,207,2018_24,17,p24-1,232,R3,20,11,8
2018,2018-07-26,207,2018_24,17,p24-2,225,R3,20,11,7
2018,2018-07-26,207,2018_24,17,p24-3,231,R3,20,12,8
2018,2018-07-26,207,2018_28,18,p28-1,241,R3,21,13,8
2018,2018-07-26,207,2018_28,18,p28-2,226,R3,20,12,9
2018,2018-07-26,207,2018_28,18,p28-3,225,R3,20,11,8
2018,2018-07-26,207,2018_34,18,p34-1,227,R3,19,10,8
2018,2018-07-26,207,2018_34,18,p34-2,219,R3,20,10,8
2018,2018-07-26,207,2018_34,18,p34-3,213,R3,19,11,7
2018,2018-07-26,207,2018_37,17,p37-1,207,R3,20,12,7
2018,2018-07-26,207,2018_37,17,p37-2,218,R3,20,11,8
2018,2018-07-26,207,2018_37,17,p37-3,220,R3,20,11,7
2018,2018-07-26,207,2018_44,NA,p44-1,213,R3,20,11,8
2018,2018-07-26,207,2018_44,NA,p44-2,198,R3,20,11,8
2018,2018-07-26,207,2018_44,NA,p44-3,213,R3,20,11,7
2018,2018-07-26,207,2018_46,NA,p46-1,221,R3,20,12,8
2018,2018-07-26,207,2018_46,NA,p46-2,216,R3,20,11,8
2018,2018-07-26,207,2018_46,NA,p46-3,217,R3,20,12,7
2019,2019-06-26,177,2019_12,18,p12-1,9.525,V5,5,5,5
2019,2019-06-26,177,2019_12,18,p12-2,9.525,V4,4,4,4
2019,2019-06-26,177,2019_12,18,p12-3,10.16,V5,5,5,5
2019,2019-06-26,177,2019_19,19,p19-1,8.89,V4,4,4,4
2019,2019-06-26,177,2019_19,19,p19-2,10.795,V5,5,5,5
2019,2019-06-26,177,2019_19,19,p19-3,8.89,V5,5,5,5
2019,2019-06-26,177,2019_21,16,p21-1,10.795,V5,5,5,5
2019,2019-06-26,177,2019_21,16,p21-2,9.525,V5,5,5,5
2019,2019-06-26,177,2019_21,16,p21-3,11.43,V5,5,5,5
2019,2019-06-26,177,2019_27,18,p27-1,12.065,V5,5,5,5
2019,2019-06-26,177,2019_27,18,p27-2,10.795,V5,5,5,5
2019,2019-06-26,177,2019_27,18,p27-3,11.43,V5,5,5,5
2019,2019-06-26,177,2019_31,14,p31-1,8.89,V5,5,5,5
2019,2019-06-26,177,2019_31,14,p31-2,10.16,V5,5,5,5
2019,2019-06-26,177,2019_31,14,p31-3,8.89,V5,5,5,5
2019,2019-06-26,177,2019_35,18,p35-1,8.255,V4,4,4,4
2019,2019-06-26,177,2019_35,18,p35-2,8.89,V5,5,5,5
2019,2019-06-26,177,2019_35,18,p35-3,8.89,V4,4,4,4
2019,2019-06-26,177,2019_43,18,p43-1,11.43,V5,5,5,5
2019,2019-06-26,177,2019_43,18,p43-2,10.795,V5,5,5,5
2019,2019-06-26,177,2019_43,18,p43-3,8.89,V5,5,4,4
2019,2019-06-26,177,2019_45,16,p45-1,8.255,V5,5,5,5
2019,2019-06-26,177,2019_45,16,p45-2,11.43,V5,5,5,5
2019,2019-06-26,177,2019_45,16,p45-3,10.795,V5,5,5,5
2019,2019-07-02,183,2019_12,18,p12-1,19.1,V6,6,6,6
2019,2019-07-02,183,2019_12,18,p12-2,17.8,V6,6,6,6
2019,2019-07-02,183,2019_12,18,p12-3,19.1,V7,7,7,7
2019,2019-07-02,183,2019_19,19,p19-1,16.5,V6,6,6,6
2019,2019-07-02,183,2019_19,19,p19-2,17.8,V7,7,7,7
2019,2019-07-02,183,2019_19,19,p19-3,16.5,V6,6,6,6
2019,2019-07-02,183,2019_21,17,p21-1,19.05,V6,6,6,6
2019,2019-07-02,183,2019_21,17,p21-2,17.78,V6,6,6,6
2019,2019-07-02,183,2019_21,17,p21-3,20.32,V6,6,6,6
2019,2019-07-02,183,2019_27,18,p27-1,22.32,V6,6,6,6
2019,2019-07-02,183,2019_27,18,p27-2,21.59,V6,6,6,6
2019,2019-07-02,183,2019_27,18,p27-3,19.7,V6,6,6,6
2019,2019-07-02,183,2019_31,18,p31-1,16.51,V6,6,6,6
2019,2019-07-02,183,2019_31,18,p31-2,18.415,V6,6,6,6
2019,2019-07-02,183,2019_31,18,p31-3,17.8,V6,6,6,6
2019,2019-07-02,183,2019_35,16,p35-1,16.51,V6,6,6,6
2019,2019-07-02,183,2019_35,16,p35-2,17.8,V6,6,6,6
2019,2019-07-02,183,2019_35,16,p35-3,17.145,V6,6,6,6
2019,2019-07-02,183,2019_43,18,p43-1,18.4,V6,6,6,6
2019,2019-07-02,183,2019_43,18,p43-2,18.4,V6,6,6,6
2019,2019-07-02,183,2019_43,18,p43-3,16.5,V6,6,6,6
2019,2019-07-02,183,2019_45,17,p45-1,17.145,V6,6,6,6
2019,2019-07-02,183,2019_45,17,p45-2,19.05,V6,6,6,6
2019,2019-07-02,183,2019_45,17,p45-3,18.415,V6,6,6,6
2019,2019-07-09,190,2019_12,18,p12-1,31,V8,8,5,5
2019,2019-07-09,190,2019_12,18,p12-2,36,V8,8,6,6
2019,2019-07-09,190,2019_12,18,p12-3,33,V8,8,5,5
2019,2019-07-09,190,2019_19,19,p19-1,39,V8,8,5,5
2019,2019-07-09,190,2019_19,19,p19-2,38,V8,8,6,6
2019,2019-07-09,190,2019_19,19,p19-3,35,V8,8,5,5
2019,2019-07-09,190,2019_21,16,p21-1,33,V8,8,5,5
2019,2019-07-09,190,2019_21,16,p21-2,36,V8,8,6,6
2019,2019-07-09,190,2019_21,16,p21-3,35,V8,8,5,5
2019,2019-07-09,190,2019_27,18,p27-1,41,V8,8,6,6
2019,2019-07-09,190,2019_27,18,p27-2,46,V9,9,7,7
2019,2019-07-09,190,2019_27,18,p27-3,43,V8,8,6,6
2019,2019-07-09,190,2019_31,17,p31-1,35,V8,8,5,5
2019,2019-07-09,190,2019_31,17,p31-2,36,V9,9,6,6
2019,2019-07-09,190,2019_31,17,p31-3,37,V8,8,5,5
2019,2019-07-09,190,2019_35,18,p35-1,37,V8,8,5,5
2019,2019-07-09,190,2019_35,18,p35-2,36,V8,8,6,6
2019,2019-07-09,190,2019_35,18,p35-3,38,V8,8,5,5
2019,2019-07-09,190,2019_43,18,p43-1,30,V8,8,5,5
2019,2019-07-09,190,2019_43,18,p43-2,34,V8,8,5,5
2019,2019-07-09,190,2019_43,18,p43-3,31,V8,8,5,5
2019,2019-07-09,190,2019_45,16,p45-1,32,V7,7,5,5
2019,2019-07-09,190,2019_45,16,p45-2,38,V8,8,6,6
2019,2019-07-09,190,2019_45,16,p45-3,39,V9,9,7,7
2019,2019-07-15,196,2019_12,18,p12-1,60,V10,10,6,6
2019,2019-07-15,196,2019_12,18,p12-2,67,V10,10,6,6
2019,2019-07-15,196,2019_12,18,p12-3,52,V10,10,5,5
2019,2019-07-15,196,2019_19,18,p19-1,78,V11,11,8,8
2019,2019-07-15,196,2019_19,18,p19-2,77,V11,11,7,7
2019,2019-07-15,196,2019_19,18,p19-3,71,V10,10,7,7
2019,2019-07-15,196,2019_21,19,p21-1,66,V11,11,7,7
2019,2019-07-15,196,2019_21,19,p21-2,72,V11,11,8,8
2019,2019-07-15,196,2019_21,19,p21-3,67.5,V11,11,7,7
2019,2019-07-15,196,2019_27,16,p27-1,80,V10,10,8,8
2019,2019-07-15,196,2019_27,16,p27-2,86,V11,11,8,8
2019,2019-07-15,196,2019_27,16,p27-3,82,V10,10,7,7
2019,2019-07-15,196,2019_31,18,p31-1,73,V11,11,9,9
2019,2019-07-15,196,2019_31,18,p31-2,72,V11,11,9,9
2019,2019-07-15,196,2019_31,18,p31-3,70,V10,10,8,8
2019,2019-07-15,196,2019_35,18,p35-1,85,V11,11,8,8
2019,2019-07-15,196,2019_35,18,p35-2,83,V11,11,7,7
2019,2019-07-15,196,2019_35,18,p35-3,84,V10,10,7,7
2019,2019-07-15,196,2019_43,18,p43-1,60.96,V10,10,6,6
2019,2019-07-15,196,2019_43,18,p43-2,68.58,V10,10,6,6
2019,2019-07-15,196,2019_43,18,p43-3,63.5,V10,10,6,6
2019,2019-07-15,196,2019_45,18,p45-1,68,V9,9,8,8
2019,2019-07-15,196,2019_45,18,p45-2,81,V10,10,8,8
2019,2019-07-15,196,2019_45,18,p45-3,75,V11,11,7,7
2019,2019-07-24,205,2019_12,18,p12-1,131,V14,14,9,9
2019,2019-07-24,205,2019_12,18,p12-2,136,V14,14,10,10
2019,2019-07-24,205,2019_12,18,p12-3,117,V14,14,9,9
2019,2019-07-24,205,2019_19,19,p19-1,147,V14,14,10,10
2019,2019-07-24,205,2019_19,19,p19-2,154,V15,15,11,11
2019,2019-07-24,205,2019_19,19,p19-3,155,V14,14,10,10
2019,2019-07-24,205,2019_21,16,p21-1,143,V15,15,11,11
2019,2019-07-24,205,2019_21,16,p21-2,142,V14,14,10,10
2019,2019-07-24,205,2019_21,16,p21-3,144,V14,14,10,10
2019,2019-07-24,205,2019_27,18,p27-1,158,V15,15,10,10
2019,2019-07-24,205,2019_27,18,p27-2,158,V14,14,10,10
2019,2019-07-24,205,2019_27,18,p27-3,159,V14,14,10,10
2019,2019-07-24,205,2019_31,18,p31-1,145,V14,14,10,10
2019,2019-07-24,205,2019_31,18,p31-2,145,V15,15,11,11
2019,2019-07-24,205,2019_31,18,p31-3,140,V14,14,10,10
2019,2019-07-24,205,2019_35,17,p35-1,154,V14,14,9,9
2019,2019-07-24,205,2019_35,17,p35-2,156,V15,15,10,10
2019,2019-07-24,205,2019_35,17,p35-3,161,V14,14,10,10
2019,2019-07-24,205,2019_43,18,p43-1,126,V12,12,9,9
2019,2019-07-24,205,2019_43,18,p43-2,137,V12,12,10,10
2019,2019-07-24,205,2019_43,18,p43-3,123,V12,12,9,9
2019,2019-07-24,205,2019_45,16,p45-1,140,V14,14,10,10
2019,2019-07-24,205,2019_45,16,p45-2,152,V14,14,10,10
2019,2019-07-24,205,2019_45,16,p45-3,148,V15,15,10,10
2019,2019-08-01,213,2019_12,18,p12-1,234,R1,19,14,14
2019,2019-08-01,213,2019_12,18,p12-2,240,R1,19,14,14
2019,2019-08-01,213,2019_12,18,p12-3,222,VT,18,13,13
2019,2019-08-01,213,2019_19,19,p19-1,235,R1,19,14,14
2019,2019-08-01,213,2019_19,19,p19-2,234,R1,19,14,14
2019,2019-08-01,213,2019_19,19,p19-3,242,R1,19,14,14
2019,2019-08-01,213,2019_21,16,p21-1,NA,NA,NA,NA,NA
2019,2019-08-01,213,2019_21,16,p21-2,NA,NA,NA,NA,NA
2019,2019-08-01,213,2019_21,16,p21-3,NA,NA,NA,NA,NA
2019,2019-08-01,213,2019_27,18,p27-1,248,R1,19,15,15
2019,2019-08-01,213,2019_27,18,p27-2,247,R1,19,14,14
2019,2019-08-01,213,2019_27,18,p27-3,242,R1,19,15,15
2019,2019-08-01,213,2019_31,18,p31-1,243,R1,19,14,14
2019,2019-08-01,213,2019_31,18,p31-2,239,R1,19,14,14
2019,2019-08-01,213,2019_31,18,p31-3,242,R1,19,14,14
2019,2019-08-01,213,2019_35,17,p35-1,247,R1,19,14,14
2019,2019-08-01,213,2019_35,17,p35-2,246,R1,19,14,14
2019,2019-08-01,213,2019_35,17,p35-3,260,R1,19,15,15
2019,2019-08-01,213,2019_43,18,p43-1,244,R1,19,14,14
2019,2019-08-01,213,2019_43,18,p43-2,245,R1,19,14,14
2019,2019-08-01,213,2019_43,18,p43-3,240,R1,19,13,13
2019,2019-08-01,213,2019_45,16,p45-1,244,R1,19,15,15
2019,2019-08-01,213,2019_45,16,p45-2,245,R1,19,14,14
2019,2019-08-01,213,2019_45,16,p45-3,240,R1,19,14,14
2019,2019-08-20,232,2019_12,17,p12-1,269,R3,19,14,14
2019,2019-08-20,232,2019_12,17,p12-2,271,R3,19,13,13
2019,2019-08-20,232,2019_12,17,p12-3,262,R3,19,13,13
2019,2019-08-20,232,2019_19,20,p19-1,257,R3,19,12,12
2019,2019-08-20,232,2019_19,20,p19-2,253,R3,19,13,13
2019,2019-08-20,232,2019_19,20,p19-3,262,R3,19,12,12
2019,2019-08-20,232,2019_21,16,p21-1,254,R3,19,13,13
2019,2019-08-20,232,2019_21,16,p21-2,262,R3,19,12,12
2019,2019-08-20,232,2019_21,16,p21-3,257,R3,19,12,12
2019,2019-08-20,232,2019_27,18,p27-1,253,R3,19,13,13
2019,2019-08-20,232,2019_27,18,p27-2,254,R3,19,12,12
2019,2019-08-20,232,2019_27,18,p27-3,249,R3,19,13,13
2019,2019-08-20,232,2019_31,18,p31-1,259,R3,19,13,13
2019,2019-08-20,232,2019_31,18,p31-2,243,R3,19,13,13
2019,2019-08-20,232,2019_31,18,p31-3,249,R3,19,13,13
2019,2019-08-20,232,2019_35,16,p35-1,279,R3,19,12,12
2019,2019-08-20,232,2019_35,16,p35-2,269,R3,19,12,12
2019,2019-08-20,232,2019_35,16,p35-3,266,R3,19,13,13
2019,2019-08-20,232,2019_43,18,p43-1,260,R3,19,13,13
2019,2019-08-20,232,2019_43,18,p43-2,242,R3,19,13,13
2019,2019-08-20,232,2019_43,18,p43-3,254,R3,19,12,12
2019,2019-08-20,232,2019_45,16,p45-1,252,R3,19,12,12
2019,2019-08-20,232,2019_45,16,p45-2,249,R3,19,12,12
2019,2019-08-20,232,2019_45,16,p45-3,257,R3,19,12,12
2020,2020-06-11,163,2020_13,NA,p13-A,NA,V7,7,5,5
2020,2020-06-11,163,2020_13,NA,p13-B,NA,V7,7,5,5
2020,2020-06-11,163,2020_13,NA,p13-C,NA,V7,7,5,5
2020,2020-06-11,163,2020_17,NA,p17-A,NA,V7,7,5,5
2020,2020-06-11,163,2020_17,NA,p17-B,NA,V7,7,5,5
2020,2020-06-11,163,2020_17,NA,p17-C,NA,V7,7,5,5
2020,2020-06-11,163,2020_22,NA,p22-A,NA,V7,7,6,6
2020,2020-06-11,163,2020_22,NA,p22-B,NA,V7,7,6,6
2020,2020-06-11,163,2020_22,NA,p22-C,NA,V7,7,6,6
2020,2020-06-11,163,2020_24,NA,p24-A,NA,V7,7,6,6
2020,2020-06-11,163,2020_24,NA,p24-B,NA,V7,7,5,5
2020,2020-06-11,163,2020_24,NA,p24-C,NA,V7,7,5,5
2020,2020-06-11,163,2020_34,NA,p34-A,NA,V7,7,5,5
2020,2020-06-11,163,2020_34,NA,p34-B,NA,V7,7,5,5
2020,2020-06-11,163,2020_34,NA,p34-C,NA,V7,7,5,5
2020,2020-06-11,163,2020_39,NA,p39-A,NA,V7,7,7,7
2020,2020-06-11,163,2020_39,NA,p39-B,NA,V7,7,5,5
2020,2020-06-11,163,2020_39,NA,p39-C,NA,V7,7,7,7
2020,2020-06-11,163,2020_41,NA,p41-A,NA,V7,7,6,6
2020,2020-06-11,163,2020_41,NA,p41-B,NA,V7,7,6,6
2020,2020-06-11,163,2020_41,NA,p41-C,NA,V7,7,6,6
2020,2020-06-11,163,2020_44,NA,p44-A,NA,V7,7,5,5
2020,2020-06-11,163,2020_44,NA,p44-B,NA,V7,7,5,5
2020,2020-06-11,163,2020_44,NA,p44-C,NA,V7,7,5,5
