"Note: I made a copy of this and put it in google sheets so wyatt and mickala can update it. I can copy-paste the google one here if needed, but for now this one is NOT the master copy. ",,,,,,,,,,
,,,,,,,,,,
site,crop,trt,samp_date,plot,depth_cm,samp_id,subsampled,washed,cleaned,notes
Marsden,alfalfa,4yr,6/17/2019,17,0-15,alf-Jun-p17-1,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,15-30,alf-Jun-p17-2,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,30-60,alf-Jun-p17-3,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,60-90,alf-Jun-p17-4,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,90-120,alf-Jun-p17-5,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,120-150,alf-Jun-p17-6,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,150-180,alf-Jun-p17-7,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,180-210,alf-Jun-p17-8,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,210-?,alf-Jun-p17-9,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,0-15,alf-Jun-p22-1,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,15-30,alf-Jun-p22-2,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,30-60,alf-Jun-p22-3,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,60-90,alf-Jun-p22-4,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,90-120,alf-Jun-p22-5,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,120-150,alf-Jun-p22-6,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,150-180,alf-Jun-p22-7,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,180-210,alf-Jun-p22-8,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,210-?,alf-Jun-p22-9,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,0-15,alf-Jun-p39-1,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,15-30,alf-Jun-p39-2,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,30-60,alf-Jun-p39-3,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,60-90,alf-Jun-p39-4,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,90-120,alf-Jun-p39-5,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,120-150,alf-Jun-p39-6,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,150-180,alf-Jun-p39-7,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,180-210,alf-Jun-p39-8,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,210-?,alf-Jun-p39-9,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,7/23/2019,17,0-15,alf-Jul-p17-1,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,15-30,alf-Jul-p17-2,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,30-60,alf-Jul-p17-3,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,60-90,alf-Jul-p17-4,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,90-120,alf-Jul-p17-5,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,120-150,alf-Jul-p17-6,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,150-180,alf-Jul-p17-7,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,180-210,alf-Jul-p17-8,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,210-?,alf-Jul-p17-9,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,0-15,alf-Jul-p22-1,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,15-30,alf-Jul-p22-2,2/11/2020,2/14/2020,,
Marsden,alfalfa,4yr,7/23/2019,22,30-60,alf-Jul-p22-3,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,60-90,alf-Jul-p22-4,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,90-120,alf-Jul-p22-5,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,120-150,alf-Jul-p22-6,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,150-180,alf-Jul-p22-7,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,180-210,alf-Jul-p22-8,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,210-?,alf-Jul-p22-9,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,39,0-15,alf-Jul-p39-1,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,39,15-30,alf-Jul-p39-2,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,39,30-60,alf-Jul-p39-3,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,39,60-90,alf-Jul-p39-4,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,39,90-120,alf-Jul-p39-5,2/11/2020,2/14/2020,,
Marsden,alfalfa,4yr,7/23/2019,39,120-150,alf-Jul-p39-6,2/11/2020,2/14/2020,,
Marsden,alfalfa,4yr,7/23/2019,39,150-180,alf-Jul-p39-7,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,39,180-210,alf-Jul-p39-8,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,39,210-?,alf-Jul-p39-9,2/11/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,0-15,alf-Sep-p17-1,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,15-30,alf-Sep-p17-2,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,30-60,alf-Sep-p17-3,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,60-90,alf-Sep-p17-4,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,90-120,alf-Sep-p17-5,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,120-150,alf-Sep-p17-6,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,150-180,alf-Sep-p17-7,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,180-210,alf-Sep-p17-8,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,210-?,alf-Sep-p17-9,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,0-15,alf-Sep-p22-1,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,15-30,alf-Sep-p22-2,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,30-60,alf-Sep-p22-3,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,60-90,alf-Sep-p22-4,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,90-120,alf-Sep-p22-5,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,120-150,alf-Sep-p22-6,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,150-180,alf-Sep-p22-7,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,180-210,alf-Sep-p22-8,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,210-?,alf-Sep-p22-9,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,0-15,alf-Sep-p39-1,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,15-30,alf-Sep-p39-2,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,30-60,alf-Sep-p39-3,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,60-90,alf-Sep-p39-4,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,90-120,alf-Sep-p39-5,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,120-150,alf-Sep-p39-6,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,150-180,alf-Sep-p39-7,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,180-210,alf-Sep-p39-8,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,210-?,alf-Sep-p39-9,2/4/2020,,,
Marsden,alfalfa,4yr,11/8/2019,17,0-15,alf-Nov-p17-1,,,,
Marsden,alfalfa,4yr,11/8/2019,17,15-30,alf-Nov-p17-2,,,,
Marsden,alfalfa,4yr,11/8/2019,17,30-60,alf-Nov-p17-3,,,,
Marsden,alfalfa,4yr,11/8/2019,17,60-90,alf-Nov-p17-4,,,,
Marsden,alfalfa,4yr,11/8/2019,17,90-120,alf-Nov-p17-5,,,,
Marsden,alfalfa,4yr,11/8/2019,17,120-150,alf-Nov-p17-6,,,,
Marsden,alfalfa,4yr,11/8/2019,17,150-180,alf-Nov-p17-7,,,,
Marsden,alfalfa,4yr,11/8/2019,17,180-210,alf-Nov-p17-8,,,,
Marsden,alfalfa,4yr,11/8/2019,17,210-?,alf-Nov-p17-9,,,,
Marsden,alfalfa,4yr,11/8/2019,22,0-15,alf-Nov-p22-1,,,,
Marsden,alfalfa,4yr,11/8/2019,22,15-30,alf-Nov-p22-2,,2/14/2020,,
Marsden,alfalfa,4yr,11/8/2019,22,30-60,alf-Nov-p22-3,,,,
Marsden,alfalfa,4yr,11/8/2019,22,60-90,alf-Nov-p22-4,,,,
Marsden,alfalfa,4yr,11/8/2019,22,90-120,alf-Nov-p22-5,,,,
Marsden,alfalfa,4yr,11/8/2019,22,120-150,alf-Nov-p22-6,,,,
Marsden,alfalfa,4yr,11/8/2019,22,150-180,alf-Nov-p22-7,,,,
Marsden,alfalfa,4yr,11/8/2019,22,180-210,alf-Nov-p22-8,,,,
Marsden,alfalfa,4yr,11/8/2019,22,210-?,alf-Nov-p22-9,,,,
Marsden,alfalfa,4yr,11/8/2019,39,0-15,alf-Nov-p39-1,,,,
Marsden,alfalfa,4yr,11/8/2019,39,15-30,alf-Nov-p39-2,,,,
Marsden,alfalfa,4yr,11/8/2019,39,30-60,alf-Nov-p39-3,,,,
Marsden,alfalfa,4yr,11/8/2019,39,60-90,alf-Nov-p39-4,,,,
Marsden,alfalfa,4yr,11/8/2019,39,90-120,alf-Nov-p39-5,,,,
Marsden,alfalfa,4yr,11/8/2019,39,120-150,alf-Nov-p39-6,,,,
Marsden,alfalfa,4yr,11/8/2019,39,150-180,alf-Nov-p39-7,,,,
Marsden,alfalfa,4yr,11/8/2019,39,180-210,alf-Nov-p39-8,,,,
Marsden,alfalfa,4yr,11/8/2019,39,210-?,alf-Nov-p39-9,,,,
Marsden,maize,2yr,11/7/2019,19,0-15,mai-Nov-p19-1,,,,
Marsden,maize,2yr,11/7/2019,19,15-30,mai-Nov-p19-2,,,,
Marsden,maize,2yr,11/7/2019,19,30-60,mai-Nov-p19-3,,,,
Marsden,maize,2yr,11/7/2019,19,60-90,mai-Nov-p19-4,,,,
Marsden,maize,2yr,11/7/2019,19,90-120,mai-Nov-p19-5,,,,
Marsden,maize,2yr,11/7/2019,19,120-150,mai-Nov-p19-6,,,,
Marsden,maize,2yr,11/7/2019,19,150-180,mai-Nov-p19-7,,,,
Marsden,maize,2yr,11/7/2019,19,180-210,mai-Nov-p19-8,,,,
Marsden,maize,2yr,11/7/2019,19,210-?,mai-Nov-p19-9,,,,
Marsden,maize,2yr,11/7/2019,27,0-15,mai-Nov-p27-1,,,,
Marsden,maize,2yr,11/7/2019,27,15-30,mai-Nov-p27-2,,,,
Marsden,maize,2yr,11/7/2019,27,30-60,mai-Nov-p27-3,,,,
Marsden,maize,2yr,11/7/2019,27,60-90,mai-Nov-p27-4,,,,
Marsden,maize,2yr,11/7/2019,27,90-120,mai-Nov-p27-5,,,,
Marsden,maize,2yr,11/7/2019,27,120-150,mai-Nov-p27-6,,,,
Marsden,maize,2yr,11/7/2019,27,150-180,mai-Nov-p27-7,,,,
Marsden,maize,2yr,11/7/2019,27,180-210,mai-Nov-p27-8,,,,
Marsden,maize,2yr,11/7/2019,27,210-?,mai-Nov-p27-9,,,,
Marsden,maize,2yr,11/7/2019,35,0-15,mai-Nov-p35-1,,,,
Marsden,maize,2yr,11/7/2019,35,15-30,mai-Nov-p35-2,,,,
Marsden,maize,2yr,11/7/2019,35,30-60,mai-Nov-p35-3,,,,
Marsden,maize,2yr,11/7/2019,35,60-90,mai-Nov-p35-4,,,,
Marsden,maize,2yr,11/7/2019,35,90-120,mai-Nov-p35-5,,,,
Marsden,maize,2yr,11/7/2019,35,120-150,mai-Nov-p35-6,,,,
Marsden,maize,2yr,11/7/2019,35,150-180,mai-Nov-p35-7,,,,
Marsden,maize,2yr,11/7/2019,35,180-210,mai-Nov-p35-8,,,,
Marsden,maize,2yr,11/7/2019,35,210-?,mai-Nov-p35-9,,,,
Marsden,maize,2yr,11/7/2019,45,0-15,mai-Nov-p45-1,,,,
Marsden,maize,2yr,11/7/2019,45,15-30,mai-Nov-p45-2,,,,
Marsden,maize,2yr,11/7/2019,45,30-60,mai-Nov-p45-3,,,,
Marsden,maize,2yr,11/7/2019,45,60-90,mai-Nov-p45-4,,,,
Marsden,maize,2yr,11/7/2019,45,90-120,mai-Nov-p45-5,,,,
Marsden,maize,2yr,11/7/2019,45,120-150,mai-Nov-p45-6,,,,
Marsden,maize,2yr,11/7/2019,45,150-180,mai-Nov-p45-7,,,,
Marsden,maize,2yr,11/7/2019,45,180-210,mai-Nov-p45-8,,,,
Marsden,maize,2yr,11/7/2019,45,210-?,mai-Nov-p45-9,,,,
Marsden,maize,4yr,11/7/2019,12,0-15,mai-Nov-p12-1,,,,
Marsden,maize,4yr,11/7/2019,12,15-30,mai-Nov-p12-2,,,,
Marsden,maize,4yr,11/7/2019,12,30-60,mai-Nov-p12-3,,,,
Marsden,maize,4yr,11/7/2019,12,60-90,mai-Nov-p12-4,,,,
Marsden,maize,4yr,11/7/2019,12,90-120,mai-Nov-p12-5,,,,
Marsden,maize,4yr,11/7/2019,12,120-150,mai-Nov-p12-6,,,,
Marsden,maize,4yr,11/7/2019,12,150-180,mai-Nov-p12-7,,,,
Marsden,maize,4yr,11/7/2019,12,180-210,mai-Nov-p12-8,,,,
Marsden,maize,4yr,11/7/2019,12,210-?,mai-Nov-p12-9,,,,
Marsden,maize,4yr,11/7/2019,21,0-15,mai-Nov-p21-1,,,,
Marsden,maize,4yr,11/7/2019,21,15-30,mai-Nov-p21-2,,,,
Marsden,maize,4yr,11/7/2019,21,30-60,mai-Nov-p21-3,,,,
Marsden,maize,4yr,11/7/2019,21,60-90,mai-Nov-p21-4,,,,
Marsden,maize,4yr,11/7/2019,21,90-120,mai-Nov-p21-5,,,,
Marsden,maize,4yr,11/7/2019,21,120-150,mai-Nov-p21-6,,,,
Marsden,maize,4yr,11/7/2019,21,150-180,mai-Nov-p21-7,,,,
Marsden,maize,4yr,11/7/2019,21,180-210,mai-Nov-p21-8,,,,
Marsden,maize,4yr,11/7/2019,21,210-?,mai-Nov-p21-9,,,,
Marsden,maize,4yr,11/7/2019,31,0-15,mai-Nov-p31-1,,,,
Marsden,maize,4yr,11/7/2019,31,15-30,mai-Nov-p31-2,,,,
Marsden,maize,4yr,11/7/2019,31,30-60,mai-Nov-p31-3,,,,
Marsden,maize,4yr,11/7/2019,31,60-90,mai-Nov-p31-4,,,,
Marsden,maize,4yr,11/7/2019,31,90-120,mai-Nov-p31-5,,,,
Marsden,maize,4yr,11/7/2019,31,120-150,mai-Nov-p31-6,,,,
Marsden,maize,4yr,11/7/2019,31,150-180,mai-Nov-p31-7,,,,
Marsden,maize,4yr,11/7/2019,31,180-210,mai-Nov-p31-8,,,,
Marsden,maize,4yr,11/7/2019,31,210-?,mai-Nov-p31-9,,,,
Marsden,maize,4yr,11/7/2019,43,0-15,mai-Nov-p43-1,,,,
Marsden,maize,4yr,11/7/2019,43,15-30,mai-Nov-p43-2,,,,
Marsden,maize,4yr,11/7/2019,43,30-60,mai-Nov-p43-3,,,,
Marsden,maize,4yr,11/7/2019,43,60-90,mai-Nov-p43-4,,,,
Marsden,maize,4yr,11/7/2019,43,90-120,mai-Nov-p43-5,,,,
Marsden,maize,4yr,11/7/2019,43,120-150,mai-Nov-p43-6,,,,
Marsden,maize,4yr,11/7/2019,43,150-180,mai-Nov-p43-7,,,,
Marsden,maize,4yr,11/7/2019,43,180-210,mai-Nov-p43-8,,,,
Marsden,maize,4yr,11/7/2019,43,210-?,mai-Nov-p43-9,,,,
Marsden,oats,4yr,8/1/2019,14,0-15,oat-Aug-p14-1,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,14,15-30,oat-Aug-p14-2,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,14,30-60,oat-Aug-p14-3,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,14,60-90,oat-Aug-p14-4,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,14,90-120,oat-Aug-p14-5,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,14,120-150,oat-Aug-p14-6,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,14,150-180,oat-Aug-p14-7,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,14,180-210,oat-Aug-p14-8,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,14,210-?,oat-Aug-p14-9,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,29,0-15,oat-Aug-p29-1,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,29,15-30,oat-Aug-p29-2,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,29,30-60,oat-Aug-p29-3,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,29,60-90,oat-Aug-p29-4,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,29,90-120,oat-Aug-p29-5,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,29,120-150,oat-Aug-p29-6,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,29,150-180,oat-Aug-p29-7,2/11/2020,2/14/2020,,
Marsden,oats,4yr,8/1/2019,29,180-210,oat-Aug-p29-8,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,29,210-?,oat-Aug-p29-9,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,32,0-15,oat-Aug-p32-1,2/11/2020,2/14/2020,,
Marsden,oats,4yr,8/1/2019,32,15-30,oat-Aug-p32-2,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,32,30-60,oat-Aug-p32-3,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,32,60-90,oat-Aug-p32-4,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,32,90-120,oat-Aug-p32-5,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,32,120-150,oat-Aug-p32-6,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,32,150-180,oat-Aug-p32-7,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,32,180-210,oat-Aug-p32-8,2/11/2020,,,
Marsden,oats,4yr,8/1/2019,32,210-?,oat-Aug-p32-9,2/11/2020,,,
